costs,kwh
0.082,2
0.661,3
0.99,4
0.315,4
0.197,5
0.098,9
0.949,11
0.675,13
0.525,13
0.501,22
1.194,25
0.67,25
0.349,35
0.423,39
0.501,43
0.55,63
0.795,68
0.664,81
0.705,84
0.903,73
1.504,99
1.615,101
1.127,119
0.718,120
2.414,122
1.13,130
0.992,138
1.554,149
1.225,196
1.565,197
1.936,209
3.154,214
2.599,220
3.298,234
2.441,235
2.031,253
4.666,279
1.834,290
2.072,290
2.039,295
3.398,299
3.083,324
2.344,333
2.382,338
2.657,353
1.705,353
3.23,416
5.049,420
3.814,456
4.58,484
4.358,516
4.714,550
4.357,563
3.919,566
3.442,592
4.898,671
3.584,696
5.535,719
4.406,742
4.289,795
6.731,800
6.895,808
5.112,811
5.141,855
5.72,860
4.691,909
6.832,913
4.813,924
6.754,984
5.127,991
6.388,1000
4.509,1098
7.185,1109
6.8,1118
7.743,1122
7.968,1137
8.858,1156
8.588,1166
6.449,1170
8.488,1215
8.877,1279
10.274,1291
6.024,1290
8.258,1331
13.376,1373
10.69,1420
8.308,1474
6.082,1497
9.284,1545
10.879,1649
8.477,1668
6.877,1782
15.106,1831
8.031,1833
8.082,1838
10.866,1787
8.596,1918
8.673,1930
15.437,2028
8.211,2057
11.982,2084
16.674,2226
12.62,2304
12.905,2341
11.615,2353
9.321,2367
12.962,2451
16.932,2457
9.648,2507
18.35,2530
17.333,2576
12.015,2607
11.32,2870
22.337,2993
19.035,3202
12.205,3286
17.078,3312
25.528,3498
24.021,3538
32.197,3794
26.652,3841
20.164,4014
14.132,4217
21.41,4305
23.244,4494
29.845,4764
32.318,5277
21.988,5283
35.229,5668
17.467,5681
22.828,5819
33.154,6000
32.228,6119
34.168,6136
40.594,7193
33.354,7886
64.542,8419
41.238,8642
47.993,8787
69.878,9484
44.894,9956
67.12,11477
73.05,11796
139.422,14359
119.939,16719
